ID,Address_x,Size,Price,Rooms,Floor,Quality,Inner Height,Heating,Furnished,Balcony,Pet,Year Built,Floors,Lift,Orientation,View,kerület,Raw Address,Address_y,lat,lon
358916," Diós árok, XII. kerület",135,518910.0,4,1,renovated,less than 3m,gáz (cirko),by arrangement,10.0,not allowed,between 2001-2010,3,no,south west,panoramic,XII," Diós árok, "," Diós árok, ",47.8007392,18.8542726
1476912," Pasarét, II. kerület",62,210000.0,3,2,in good condition,not defined,gáz (cirko),not furnished,3.0,not defined,between 1950-1980,not defined,no,north east,garden,II," Pasarét, "," Pasarét, ",47.5202876,18.9973722
1702094," Andrássy út, VI. kerület",192,1455400.0,5,2,renovated,more than 3m,gáz (cirko),furnished,not defined,allowed,not defined,2,no,west,street,VI," Andrássy út, "," Andrássy út, ",47.5065213,19.0652946
2080456," Károly körút, V. kerület",130,544230.0,4,4,new,more than 3m,gáz (cirko),by arrangement,5.0,not defined,before 1950,4,yes,not defined,panoramic,V," Károly körút, "," Károly körút, ",47.4951765,19.0594974
2389231," Krisztinaváros, XII. kerület",135,385000.0,4,2,in good condition,more than 3m,házközponti,not furnished,8.0,not allowed,before 1950,4,yes,west,street,XII," Krisztinaváros, "," Krisztinaváros, ",47.4968655,19.0297756
2703725," Béla király út, XII. kerület",130,563968.0,4,1,new,not defined,gáz (cirko),furnished,10.0,not allowed,not defined,not defined,yes,not defined,garden,XII," Béla király út, "," Béla király út, ",47.5111477,18.9724305
2747776," Hegyalja út, I. kerület",34,85000.0,1,mezzanine,renovated,less than 3m,házközponti egyedi méréssel,not furnished,2.0,not allowed,before 1950,5,yes,south west,courtyard,I," Hegyalja út, "," Hegyalja út, ",47.4883598,19.0302763
3233817," Pecz Samu utca, XI. kerület",43,160000.0,2,2,new,not defined,házközponti egyedi méréssel,furnished,18.0,not defined,between 2001-2010,3,yes,not defined,garden,XI," Pecz Samu utca, "," Pecz Samu utca, ",47.4665429,19.0115846
3727992," Kútvölgy, XII. kerület",150,473005.0,5,2,not defined,not defined,gáz (cirko),not furnished,not defined,allowed,not defined,3,yes,not defined,panoramic,XII," Kútvölgy, "," Kútvölgy, ",47.5094194,18.9907247
4589835," Andrássy út, VI. kerület",161,1016597.0,5,5,renovated,not defined,házközponti egyedi méréssel,not furnished,not defined,not defined,between 2001-2010,5,yes,not defined,street,VI," Andrássy út, "," Andrássy út, ",47.5065213,19.0652946
4850962," Ifjúmunkás utca, IX. kerület",40,110000.0,2,7,in good condition,less than 3m,házközponti egyedi méréssel,furnished,not defined,not allowed,not defined,10,yes,south east,street,IX," Ifjúmunkás utca, "," Ifjúmunkás utca, ",47.4676621,19.1096319
4862908," Wesselényi utca 2, VII. kerület",70,150000.0,3,3,in good condition,not defined,"elektromos, cserépkályha",not furnished,not defined,not allowed,not defined,5,yes,not defined,street,VII," Wesselényi utca 2, "," Wesselényi utca 2, ",47.6399079,18.8285187
5022796," Mecset utca, II. kerület",98,582160.0,4,2,new,not defined,gáz (cirko),furnished,not defined,allowed,not defined,not defined,yes,not defined,panoramic,II," Mecset utca, "," Mecset utca, ",47.5138382,19.0345993
5098150," Nagymező utca, VI. kerület",63,218310.0,2,3,in good condition,not defined,gáz (cirko),by arrangement,not defined,not allowed,not defined,not defined,yes,not defined,street,VI," Nagymező utca, "," Nagymező utca, ",47.5028532,19.0611973
5107217," Tulipán utca, II. kerület",96,544230.0,3,0,in good condition,not defined,gáz (cirko),furnished,not defined,not allowed,before 1950,not defined,no,not defined,panoramic,II," Tulipán utca, "," Tulipán utca, ",47.0919899,17.9182614
5179306," Röppentyű utca, XIII. kerület",46,115000.0,2,2,renovated,less than 3m,házközponti egyedi méréssel,furnished,6.0,not allowed,between 2001-2010,4,yes,south west,street,XIII," Röppentyű utca, "," Röppentyű utca, ",47.5355922,19.0751487
5318160," Holló utca 12, VII. kerület",56,163269.0,2,5,newly built,not defined,házközponti egyedi méréssel,furnished,not defined,not defined,not defined,5,yes,not defined,street,VII," Holló utca 12, "," Holló utca 12, ",46.84775545,16.8834923
5394534," Corvin sétány, VIII. kerület",67,200000.0,3,4,newly built,less than 3m,házközponti egyedi méréssel,furnished,not defined,allowed,not defined,9,yes,south,street,VIII," Corvin sétány, "," Corvin sétány, ",47.485899599999996,19.07519187896299
5512953," Hegedű utca, VI. kerület",40,100000.0,2,0,renovated,not defined,gáz (konvektor),not furnished,not defined,not allowed,not defined,3,not defined,not defined,courtyard,VI," Hegedű utca, "," Hegedű utca, ",47.5023276,19.0634221
5575634," Bécsi utca, V. kerület",105,400235.0,2,4,renovated,more than 3m,házközponti egyedi méréssel,furnished,not defined,not allowed,not defined,5,yes,not defined,street,V," Bécsi utca, "," Bécsi utca, ",47.4956675,19.0524235
5578212," Garam utca, XIII. kerület",27,75000.0,1,0,in good condition,not defined,gáz (konvektor),furnished,not defined,not allowed,not defined,5,yes,not defined,courtyard,XIII," Garam utca, "," Garam utca, ",47.4375566,19.2001527
5579279," Mátyáshegy, III. kerület",120,946010.0,4,0,in good condition,not defined,gáz (cirko),furnished,not defined,not allowed,not defined,not defined,not defined,not defined,panoramic,III," Mátyáshegy, "," Mátyáshegy, ",47.5336215,19.0228064
5657384," Abonyi utca, XIV. kerület",135,355707.0,4,2,renovated,more than 3m,házközponti,partly furnished,5.0,not defined,before 1950,3,no,not defined,street,XIV," Abonyi utca, "," Abonyi utca, ",47.5073312,19.0898809
5811559," Áfonya utca, II. kerület",110,544230.0,4,1,renovated,less than 3m,gáz (cirko),not defined,48.0,allowed,not defined,2,no,not defined,garden,II," Áfonya utca, "," Áfonya utca, ",47.5217936,19.0251287
5904823," Váci utca, V. kerület",53,105000.0,1,3,renovated,not defined,gáz (konvektor),furnished,not defined,not defined,not defined,not defined,yes,not defined,courtyard,V," Váci utca, "," Váci utca, ",47.4921529,19.053635
5998566," Nap utca, VIII. kerület",53,140000.0,3,not defined,in good condition,less than 3m,távfűtés,furnished,3.0,not allowed,between 1981-2000,10,yes,south east,street,VIII," Nap utca, "," Nap utca, ",47.5291016,21.6359899
6008841," Ráth György utca, XII. kerület",45,120000.0,1,3,renovated,not defined,elektromos,furnished,not defined,allowed,not defined,5,no,not defined,courtyard,XII," Ráth György utca, "," Ráth György utca, ",47.5028345,19.0168374
6031179," Országút, II. kerület",120,509390.0,3,0,new,not defined,gáz (cirko),not furnished,not defined,allowed,not defined,not defined,yes,not defined,not defined,II," Országút, "," Országút, ",47.5117089,19.0272866
6082452," Sas utca, V. kerület",70,509390.0,3,3,renovated,not defined,gáz (cirko),by arrangement,not defined,allowed,not defined,not defined,no,not defined,courtyard,V," Sas utca, "," Sas utca, ",47.4428431,19.1175986
6085822," Béla király út, XII. kerület",64,175000.0,3,2,in good condition,less than 3m,gáz (cirko),not furnished,4.0,not allowed,not defined,3,no,east,garden,XII," Béla király út, "," Béla király út, ",47.5111477,18.9724305
6092615," Várfok utca, I. kerület",66,160000.0,3,3,in good condition,not defined,házközponti,not furnished,not defined,not allowed,not defined,4,yes,not defined,panoramic,I," Várfok utca, "," Várfok utca, ",47.5059375,19.0278328
6255938," Batthyány utca, I. kerület",75,220000.0,2,3,renovated,not defined,gáz (cirko),not furnished,not defined,not allowed,not defined,4,no,not defined,panoramic,I," Batthyány utca, "," Batthyány utca, ",47.4525921,19.1449311
6268358," Budakeszi út, II. kerület",55,200000.0,2,2,new,not defined,házközponti egyedi méréssel,by arrangement,not defined,not defined,not defined,5,yes,not defined,panoramic,II," Budakeszi út, "," Budakeszi út, ",47.5207777,18.9389519
6268834," Balogh Ádám utca, II. kerület",160,787000.0,4,0,new,not defined,gáz (cirko),furnished,30.0,not allowed,not defined,3,yes,not defined,panoramic,II," Balogh Ádám utca, "," Balogh Ádám utca, ",47.5268258,18.9981174
6271159," Vár, I. kerület",82,363850.0,3,2,in good condition,more than 3m,gáz (cirko),not furnished,not defined,not defined,not defined,not defined,no,north east,street,I," Vár, "," Vár, ",43.4173592,6.2664620128919
6271849," Óra út, XII. kerület",215,1091550.0,5,1,in good condition,not defined,gáz (cirko),by arrangement,not defined,not defined,between 2001-2010,2,no,south east,panoramic,XII," Óra út, "," Óra út, ",47.5017213,19.0000479
6294732," Somogyi Béla utca, VIII. kerület",40,110000.0,1,0,in good condition,more than 3m,gáz (konvektor),furnished,not defined,not allowed,not defined,4,not defined,not defined,courtyard,VIII," Somogyi Béla utca, "," Somogyi Béla utca, ",48.1857326,21.2788611
6298571," Belső-Terézváros, VI. kerület",80,240000.0,3,5,in good condition,not defined,házközponti,not furnished,not defined,not defined,not defined,not defined,yes,not defined,street,VI," Belső-Terézváros, "," Belső-Terézváros, ",0,0
6310471," Hárshegyi út 23, II. kerület",100,465000.0,3,0,not defined,not defined,házközponti egyedi méréssel,furnished,not defined,not defined,not defined,2,yes,not defined,garden,II," Hárshegyi út 23, "," Hárshegyi út 23, ",47.525134249999994,18.965998058213646
6379565," Bajnok utca, VI. kerület",38,125000.0,1,3,renovated,more than 3m,elektromos,furnished,not defined,not defined,not defined,3,yes,east,street,VI," Bajnok utca, "," Bajnok utca, ",47.5116513,19.0662445
6399916," Kiscelli utca, III. kerület",76,454813.0,3,4,new,not defined,gáz (cirko),not furnished,not defined,not allowed,not defined,4,yes,not defined,panoramic,III," Kiscelli utca, "," Kiscelli utca, ",47.5389729,19.0402857
6412773," Egressy út, XIV. kerület",43,110000.0,2,5,new,less than 3m,házközponti egyedi méréssel,not furnished,1.0,not allowed,not defined,7,yes,south east,street,XIV," Egressy út, "," Egressy út, ",47.5137272,19.1184052
6430289," Kútvölgy, XII. kerület",150,570000.0,4,1,new,less than 3m,gáz (cirko),not furnished,not defined,not defined,not defined,4,yes,not defined,panoramic,XII," Kútvölgy, "," Kútvölgy, ",47.5094194,18.9907247
6443839," Rahó utca, XI. kerület",50,152000.0,2,1,new,not defined,gáz (cirko),furnished,4.0,not allowed,between 2001-2010,3,yes,south east,garden,XI," Rahó utca, "," Rahó utca, ",47.4699855,19.0172008
6462029," Irányi utca, V. kerület",140,800470.0,4,4,renovated,not defined,házközponti egyedi méréssel,furnished,not defined,not defined,before 1950,4,yes,not defined,street,V," Irányi utca, "," Irányi utca, ",47.4911647,19.0533878
6535784," Márton utca 23-25, IX. kerület",56,165000.0,2,3,newly built,less than 3m,házközponti egyedi méréssel,furnished,12.0,not allowed,between 2001-2010,6,yes,not defined,garden,IX," Márton utca 23-25, "," Márton utca 23-25, ",47.4346015,19.6855232
6542153," Gárdonyi Géza út, II. kerület",160,1018780.0,4,1,renovated,more than 3m,gáz (cirko),not furnished,not defined,not defined,before 1950,2,no,south east,panoramic,II," Gárdonyi Géza út, "," Gárdonyi Géza út, ",47.524246,19.0110997
6549785," Ötvös János utca, II. kerület",76,545775.0,3,2,newly built,less than 3m,gáz (cirko),furnished,100.0,not defined,between 2001-2010,3,yes,south east,panoramic,II," Ötvös János utca, "," Ötvös János utca, ",47.5370291,18.9743175
6577476," József körút, VIII. kerület",80,160000.0,2,4,renovated,more than 3m,gázkazán,furnished,not defined,not allowed,before 1950,4,yes,south east,street,VIII," József körút, "," József körút, ",47.49657,19.070507
6601457," Révay utca, VI. kerület",32,125000.0,1,2,in good condition,more than 3m,gáz (konvektor),furnished,not defined,not defined,not defined,4,yes,not defined,courtyard,VI," Révay utca, "," Révay utca, ",47.5015442,19.0567613
6645938," Gaál József út 34/B, XII. kerület",80,250000.0,3,1,new,less than 3m,"gáz (cirko), fan-coil",partly furnished,8.0,allowed,between 1950-1980,3,no,north east,panoramic,XII," Gaál József út 34/B, "," Gaál József út 34/B, ",0,0
6660791," Völgy utca, II. kerület",48,150000.0,2,1,renovated,not defined,gáz (cirko),furnished,5.0,not allowed,not defined,not defined,no,not defined,garden,II," Völgy utca, "," Völgy utca, ",47.4105554,19.0185818
6703364," Kazinczy utca, VII. kerület",70,200000.0,3,1,new,less than 3m,házközponti egyedi méréssel,furnished,not defined,not allowed,between 2001-2010,4,yes,not defined,garden,VII," Kazinczy utca, "," Kazinczy utca, ",48.4729242,21.2621827
6703623," Nagy Templom utca, VIII. kerület",44,150000.0,2,4,new,less than 3m,házközponti egyedi méréssel,furnished,4.6,not allowed,between 2001-2010,6,yes,west,not defined,VIII," Nagy Templom utca, "," Nagy Templom utca, ",47.4867431,19.0761631
6709105," Dereglye utca, III. kerület",40,100000.0,1,1,in moderate condition,not defined,nincs megadva,partly furnished,not defined,not allowed,not defined,4,no,east,street,III," Dereglye utca, "," Dereglye utca, ",47.5292599,19.0398806
6709450," Nagy Templom utca, VIII. kerület",43,135000.0,2,4,new,less than 3m,házközponti egyedi méréssel,furnished,3.0,not allowed,between 2001-2010,6,yes,not defined,street,VIII," Nagy Templom utca, "," Nagy Templom utca, ",47.4867431,19.0761631
6714178," Dandár utca 22, IX. kerület",60,320188.0,3,6,newly built,not defined,gáz (cirko),furnished,not defined,not defined,not defined,not defined,yes,not defined,street,IX," Dandár utca 22, "," Dandár utca 22, ",47.0264869,18.0041435
6716514," Budafoki út 33, XI. kerület",80,190000.0,4,3,in good condition,less than 3m,távfűtés,furnished,not defined,not allowed,not defined,5,no,not defined,not defined,XI," Budafoki út 33, "," Budafoki út 33, ",47.3830431,18.9541872
6732462," Zöldlomb utca, II. kerület",110,545775.0,4,0,in good condition,less than 3m,gáz (cirko),partly furnished,50.0,allowed,between 2001-2010,2,no,not defined,garden,II," Zöldlomb utca, "," Zöldlomb utca, ",47.5294598,19.0183928
6735991," Rumbach Sebestyén utca 3, VII. kerület",40,120000.0,1,3,renovated,not defined,gáz (cirko),furnished,not defined,not defined,not defined,not defined,yes,not defined,street,VII," Rumbach Sebestyén utca 3, "," Rumbach Sebestyén utca 3, ",47.4970272,19.0600479
6745675," Falk Miksa utca, V. kerület",85,160000.0,2,5,renovated,not defined,házközponti,not defined,not defined,not allowed,not defined,6,yes,south east,street,V," Falk Miksa utca, "," Falk Miksa utca, ",47.5126348,19.0488375
6748571," Mártonvölgy utca, XII. kerület",100,545775.0,3,2,in good condition,not defined,gáz (cirko),not furnished,20.0,not defined,not defined,3,no,not defined,panoramic,XII," Mártonvölgy utca, "," Mártonvölgy utca, ",47.4913815,19.0009311
6781048," Berényi utca, I. kerület",78,180000.0,2,mezzanine,in good condition,not defined,házközponti,not furnished,not defined,allowed,not defined,2,not defined,south west,garden,I," Berényi utca, "," Berényi utca, ",47.4880955,19.0347018
6796674," Katona József utca, XIII. kerület",86,140000.0,2,2,in good condition,more than 3m,házközponti egyedi méréssel,partly furnished,not defined,not allowed,before 1950,5,yes,east,street,XIII," Katona József utca, "," Katona József utca, ",47.5133494,19.0531609
6836626," Eötvös utca, VI. kerület",41,145000.0,2,4,new,less than 3m,gáz (cirko),furnished,not defined,not allowed,2012,5,yes,not defined,courtyard,VI," Eötvös utca, "," Eötvös utca, ",47.5386558,21.632497
6857723," Zöldkő utca, II. kerület",115,618545.0,4,1,in good condition,less than 3m,gáz (cirko),furnished,7.0,not defined,not defined,2,no,not defined,panoramic,II," Zöldkő utca, "," Zöldkő utca, ",47.5312566,19.0081776
6885540," Szépvölgyi út, II. kerület",150,725640.0,4,mezzanine,renovated,not defined,gáz (cirko),not furnished,not defined,allowed,not defined,4,yes,not defined,panoramic,II," Szépvölgyi út, "," Szépvölgyi út, ",47.5298878,19.0209295
6888587," Andrássy út, VI. kerület",61,280000.0,2,4,new,less than 3m,gáz (cirko),furnished,not defined,not allowed,2011,5,yes,not defined,courtyard,VI," Andrássy út, "," Andrássy út, ",47.5065213,19.0652946
6909765," Bem rakpart, II. kerület",115,654930.0,3,4,renovated,more than 3m,gáz (cirko),furnished,not defined,not defined,not defined,5,yes,east,panoramic,II," Bem rakpart, "," Bem rakpart, ",47.5139839,19.0395569
6925447," Dorozsmai utca, XIV. kerület",41,99000.0,1,1,in good condition,not defined,gáz (konvektor),furnished,not defined,not allowed,not defined,3,not defined,not defined,not defined,XIV," Dorozsmai utca, "," Dorozsmai utca, ",47.5230936,19.0990391
6927405," Attila út, I. kerület",36,160000.0,2,4,renovated,not defined,házközponti egyedi méréssel,furnished,34.0,not allowed,not defined,4,yes,not defined,panoramic,I," Attila út, "," Attila út, ",48.3188236,21.5726792
6935968," Pacsirtamező utca, III. kerület",161,400000.0,6,1,in good condition,more than 3m,gáz (cirko),by arrangement,5.0,not allowed,before 1950,5,no,not defined,garden,III," Pacsirtamező utca, "," Pacsirtamező utca, ",47.5320836,19.0396969
6946197," Mecset utca 10, II. kerület",35,155000.0,2,2,new,less than 3m,gáz (cirko),furnished,5.0,not allowed,not defined,5,yes,south,courtyard,II," Mecset utca 10, "," Mecset utca 10, ",47.51516225,19.03483658907083
6954271," Zöldlomb utca, II. kerület",120,509390.0,4,1,in good condition,not defined,gáz (cirko),furnished,not defined,not allowed,not defined,not defined,no,not defined,garden,II," Zöldlomb utca, "," Zöldlomb utca, ",47.5294598,19.0183928
6954377," Ó utca, VI. kerület",40,110000.0,1,4,new,less than 3m,gáz (cirko),furnished,not defined,not allowed,between 2001-2010,5,yes,not defined,courtyard,VI," Ó utca, "," Ó utca, ",47.5022926,19.0551461
6956149," Hegedűs Gyula utca, XIII. kerület",72,220000.0,3,5,new,not defined,házközponti egyedi méréssel,furnished,12.0,not allowed,not defined,7,yes,not defined,not defined,XIII," Hegedűs Gyula utca, "," Hegedűs Gyula utca, ",47.5121347,19.0522868
6957584," Eszék utca, XI. kerület",43,120000.0,1,mezzanine,in good condition,more than 3m,gáz (cirko),not furnished,not defined,not allowed,before 1950,5,yes,south,street,XI," Eszék utca, "," Eszék utca, ",47.4749116,19.046369
6968613," Királyhágó utca, XII. kerület",67,115000.0,1,4,in good condition,not defined,gáz (cirko),not furnished,not defined,not defined,not defined,5,yes,not defined,panoramic,XII," Királyhágó utca, "," Királyhágó utca, ",47.4954656,19.0220134
6973106," Garibaldi utca, V. kerület",112,280000.0,3,2,new,more than 3m,házközponti egyedi méréssel,furnished,4.0,not allowed,not defined,4,yes,not defined,street,V," Garibaldi utca, "," Garibaldi utca, ",47.5049106,19.0466629
6996439," Bánki Donát utca, XIV. kerület",29,90000.0,1,1,in good condition,not defined,gáz (konvektor),furnished,1.0,not allowed,not defined,3,not defined,south,garden,XIV," Bánki Donát utca, "," Bánki Donát utca, ",48.1033944,20.6913162
6996952," Bajcsy-Zsilinszky út, V. kerület",50,170000.0,2,3,new,more than 3m,gáz (cirko),furnished,not defined,not allowed,not defined,5,yes,south,street,V," Bajcsy-Zsilinszky út, "," Bajcsy-Zsilinszky út, ",47.4999104,19.0553621
7007576," Rózsadomb, II. kerület",181,943332.0,4,2,new,less than 3m,gáz (cirko),by arrangement,35.0,not defined,between 2001-2010,not defined,yes,south east,panoramic,II," Rózsadomb, "," Rózsadomb, ",47.5173286,19.0282878
7037480," Visegrádi utca 28, XIII. kerület",33,115000.0,1,3,renovated,not defined,házközponti egyedi méréssel,furnished,not defined,not defined,not defined,4,yes,south east,street,XIII," Visegrádi utca 28, "," Visegrádi utca 28, ",47.515219,19.0558977
7048583," Széchenyi rakpart, V. kerület",68,352935.0,3,2,renovated,more than 3m,házközponti,furnished,not defined,not defined,not defined,4,no,not defined,panoramic,V," Széchenyi rakpart, "," Széchenyi rakpart, ",47.5117105,19.0463357
7075550," Lipótváros, V. kerület",80,362820.0,3,1,renovated,not defined,gáz (cirko),furnished,not defined,not allowed,not defined,4,yes,not defined,street,V," Lipótváros, "," Lipótváros, ",47.5045431,19.0503804
7081330," Egressy út, XIV. kerület",58,210000.0,3,5,new,less than 3m,házközponti egyedi méréssel,not furnished,28.0,not allowed,2013,6,yes,northwest,street,XIV," Egressy út, "," Egressy út, ",47.5137272,19.1184052
7095808," Szent István körút, V. kerület",56,115000.0,1,3,in good condition,more than 3m,gáz (konvektor),furnished,not defined,not defined,not defined,4,yes,not defined,street,V," Szent István körút, "," Szent István körút, ",47.5114357,19.0531996
7109915," Endrődi Sándor utca, II. kerület",200,800470.0,4,1,in good condition,not defined,gáz (cirko),not furnished,not defined,not defined,not defined,2,no,not defined,not defined,II," Endrődi Sándor utca, "," Endrődi Sándor utca, ",47.5194799,19.0130449
7125625," Kalászi utca, III. kerület",68,291080.0,2,0,new,less than 3m,gáz (cirko),by arrangement,23.0,not allowed,between 2001-2010,3,no,south east,garden,III," Kalászi utca, "," Kalászi utca, ",47.5769475,19.0612263
7145991," Bajcsy-Zsilinszky út, VI. kerület",71,170000.0,3,mezzanine,in good condition,more than 3m,gáz (cirko),furnished,not defined,not allowed,before 1950,5,yes,west,street,VI," Bajcsy-Zsilinszky út, "," Bajcsy-Zsilinszky út, ",47.4999104,19.0553621
7150198," Liszt Ferenc tér, VI. kerület",81,218310.0,3,3,renovated,not defined,gáz (cirko),furnished,not defined,not defined,not defined,4,yes,not defined,courtyard,VI," Liszt Ferenc tér, "," Liszt Ferenc tér, ",47.5031331,19.064219013885626
7190450," Október 6. utca, V. kerület",160,400235.0,3,1,renovated,not defined,gáz (cirko),furnished,not defined,not allowed,not defined,3,yes,not defined,street,V," Október 6. utca, "," Október 6. utca, ",47.4994987,19.0512886
7200813," Hegedűs Gyula utca, XIII. kerület",176,509390.0,3,1,renovated,not defined,házközponti,partly furnished,not defined,not defined,not defined,not defined,yes,not defined,not defined,XIII," Hegedűs Gyula utca, "," Hegedűs Gyula utca, ",47.5121347,19.0522868
7203047," Fehér Hajó utca, V. kerület",140,800470.0,4,2,renovated,more than 3m,házközponti,furnished,not defined,not defined,before 1950,2,yes,not defined,street,V," Fehér Hajó utca, "," Fehér Hajó utca, ",47.4957847,19.0525049
7203088," Balaton utca, V. kerület",70,363850.0,2,2,renovated,not defined,gáz (cirko),furnished,not defined,not defined,not defined,not defined,yes,not defined,panoramic,V," Balaton utca, "," Balaton utca, ",47.5025837,21.6097301
7203471," Toldy Ferenc utca, I. kerület",260,1455400.0,5,3,new,more than 3m,gáz (cirko),by arrangement,20.0,not defined,between 1981-2000,not defined,yes,not defined,panoramic,I," Toldy Ferenc utca, "," Toldy Ferenc utca, ",47.4460373,19.1175335
20001521," Szikla utca, II. kerület",125,860000.0,5,0,new,less than 3m,"gáz (cirko), egyéb",partly furnished,23.0,not allowed,between 1981-2000,3,no,south west,garden,II," Szikla utca, "," Szikla utca, ",47.5316765,19.0121718
20002211," Fejér Lipót utca, XI. kerület",50,130000.0,2,7,renovated,less than 3m,távfűtés,not defined,not defined,not allowed,not defined,more than 10,yes,northwest,panoramic,XI," Fejér Lipót utca, "," Fejér Lipót utca, ",47.4675915,19.0370374
20002732," Petőfi Sándor utca 12., V. kerület",99,220000.0,3,5,renovated,more than 3m,házközponti,not furnished,6.0,not allowed,before 1950,8,yes,south,street,V," Petőfi Sándor utca 12., "," Petőfi Sándor utca 12., ",47.6406765,18.8395876
20007043," Budafoki út 37-39., XI. kerület",50,150000.0,2,2,renovated,less than 3m,távfűtés egyedi méréssel,by arrangement,3.0,not allowed,between 1981-2000,7,yes,south east,street,XI," Budafoki út 37-39., "," Budafoki út 37-39., ",47.3830431,18.9541872
20007260," Szinyei Merse Pál utca, VI. kerület",30,110000.0,1,3,in good condition,not defined,gáz (konvektor),furnished,not defined,not allowed,not defined,3,no,not defined,courtyard,VI," Szinyei Merse Pál utca, "," Szinyei Merse Pál utca, ",48.102048,20.7036237
20011749," Krúdy utca, VIII. kerület",70,180000.0,3,3,renovated,more than 3m,gáz (cirko),furnished,not defined,not allowed,not defined,3,yes,south west,street,VIII," Krúdy utca, "," Krúdy utca, ",47.4902868,19.0683044
20044535," Szent László út, XIII. kerület",26,95000.0,2,mezzanine,in moderate condition,more than 3m,gáz (konvektor),furnished,not defined,not defined,not defined,2,no,not defined,courtyard,XIII," Szent László út, "," Szent László út, ",47.5451902,19.0963271
20055487," Lovag utca, VI. kerület",90,345658.0,3,1,in good condition,more than 3m,gáz (cirko),furnished,not defined,not defined,before 1950,not defined,no,not defined,street,VI," Lovag utca, "," Lovag utca, ",47.5059463,19.0566679
20064396," Orbánhegy, XII. kerület",160,691315.0,5,1,renovated,not defined,gáz (cirko),not furnished,not defined,not allowed,not defined,not defined,no,not defined,garden,XII," Orbánhegy, "," Orbánhegy, ",47.4962116,19.0054865
20066723," Máriaremetei út, II. kerület",55,140000.0,2,mezzanine,in good condition,less than 3m,gáz (cirko),partly furnished,15.0,allowed,between 1950-1980,2,no,south east,garden,II," Máriaremetei út, "," Máriaremetei út, ",47.5508043,18.950104
20067730," Mátyáshegy, III. kerület",90,356573.0,3,1,new,not defined,gáz (cirko),furnished,not defined,not allowed,between 2001-2010,3,no,not defined,panoramic,III," Mátyáshegy, "," Mátyáshegy, ",47.5336215,19.0228064
20074577," Lechner Ödön fasor, IX. kerület",113,500000.0,3,5,new,not defined,fan-coil,by arrangement,24.0,not defined,between 2001-2010,9,yes,south west,panoramic,IX," Lechner Ödön fasor, "," Lechner Ödön fasor, ",47.4745619,19.0699926
20079713," Szépvölgyi út, II. kerület",140,727700.0,4,3,in good condition,less than 3m,gáz (cirko),furnished,not defined,not defined,between 1981-2000,4,yes,east,panoramic,II," Szépvölgyi út, "," Szépvölgyi út, ",47.5298878,19.0209295
20083561," Podmaniczky utca 1.-3, VI. kerület",54,150000.0,2,1,in good condition,more than 3m,gáz (cirko),furnished,2.0,not defined,not defined,4,no,northwest,street,VI," Podmaniczky utca 1.-3, "," Podmaniczky utca 1.-3, ",47.506915,19.0553913
20102167," Bajcsy-Zsilinszky út, V. kerület",84,180000.0,2,2,renovated,more than 3m,gáz (cirko),furnished,not defined,not allowed,not defined,4,yes,south,street,V," Bajcsy-Zsilinszky út, "," Bajcsy-Zsilinszky út, ",47.4999104,19.0553621
20104358," Kapy utca, II. kerület",50,200000.0,2,0,new,less than 3m,gáz (cirko),furnished,10.0,allowed,not defined,2,yes,not defined,garden,II," Kapy utca, "," Kapy utca, ",47.5291207,19.0029387
20109466," Külső-Terézváros – Diplomatanegyed, VI. kerület",192,1455400.0,4,2,renovated,more than 3m,gáz (cirko),furnished,not defined,not defined,before 1950,3,yes,not defined,street,VI," Külső-Terézváros – Diplomatanegyed, "," Külső-Terézváros – Diplomatanegyed, ",0,0
20115248," Tartsay Vilmos utca, XII. kerület",100,321000.0,4,2,new,not defined,gáz (cirko),furnished,4.33,not allowed,before 1950,4,no,south east,garden,XII," Tartsay Vilmos utca, "," Tartsay Vilmos utca, ",47.4920826,19.0219514
20117189," Széchenyi rakpart, V. kerület",70,350000.0,3,2,renovated,not defined,házközponti,furnished,not defined,not defined,not defined,4,yes,not defined,panoramic,V," Széchenyi rakpart, "," Széchenyi rakpart, ",47.5117105,19.0463357
20118370," Andrássy út, VI. kerület",73,180000.0,2,2,in moderate condition,more than 3m,gáz (cirko),furnished,not defined,allowed,before 1950,5,yes,not defined,street,VI," Andrássy út, "," Andrássy út, ",47.5065213,19.0652946
20127932," Csillaghegy, III. kerület",70,230000.0,2,not defined,in good condition,not defined,gáz (cirko),not furnished,5.0,not allowed,not defined,2,not defined,not defined,not defined,III," Csillaghegy, "," Csillaghegy, ",47.5861629,19.0507049
20130970," Hangya utca, XII. kerület",125,618545.0,4,4,renovated,less than 3m,gáz (cirko),by arrangement,20.0,not defined,between 2001-2010,4,not defined,south,panoramic,XII," Hangya utca, "," Hangya utca, ",47.4966062,18.9962665
20132352," József nádor tér, V. kerület",55,130000.0,2,0,in good condition,not defined,házközponti,not furnished,not defined,not defined,not defined,5,yes,not defined,courtyard,V," József nádor tér, "," József nádor tér, ",47.4981929,19.05020176632447
20135286," Oktogon, VI. kerület",65,155000.0,2,not defined,in moderate condition,not defined,nincs megadva,not defined,not defined,not allowed,not defined,not defined,yes,not defined,not defined,VI," Oktogon, "," Oktogon, ",47.5049614,19.062964
