ID,Address_x,Size,Price,Rooms,Floor,Quality,Inner Height,Heating,Furnished,Balcony,Pet,Year Built,Floors,Lift,Orientation,View,kerület,Raw Address,Address_y,lat,lon
32043567," Ecseri út 23, IX. kerület",20,75000.0,1,0,in moderate condition,less than 3m,gáz (konvektor),by arrangement,not defined,allowed,before 1950,1,no,not defined,courtyard,IX," Ecseri út 23, "," Ecseri út 23, ",47.4637312,19.1014829
32043579," Varsó utca, XIV. kerület",51,140000.0,2,not defined,not defined,not defined,nincs megadva,not defined,4.0,not defined,not defined,not defined,not defined,not defined,not defined,XIV," Varsó utca, "," Varsó utca, ",47.5179831,19.1076011
32043617," Fajansz utca, XIV. kerület",93,200000.0,3,2,renovated,less than 3m,gáz (cirko),partly furnished,5.0,not allowed,between 2001-2010,4,no,south east,garden,XIV," Fajansz utca, "," Fajansz utca, ",47.532209,19.1220875
32043619," Józsefváros – Corvinnegyed, VIII. kerület",90,250000.0,3,2,new,less than 3m,gáz (cirko),partly furnished,not defined,not allowed,between 1981-2000,3,yes,not defined,street,VIII," Józsefváros – Corvinnegyed, "," Józsefváros – Corvinnegyed, ",0,0
32043633," Gömb utca 17, XIII. kerület",33,130000.0,1,4,newly built,less than 3m,házközponti egyedi méréssel,furnished,not defined,not defined,2020,5,yes,east,street,XIII," Gömb utca 17, "," Gömb utca 17, ",47.53002805,19.07600175
32043634," Bem rakpart, II. kerület",39,115000.0,1,1,renovated,more than 3m,gáz (cirko),furnished,not defined,not allowed,not defined,3,no,not defined,courtyard,II," Bem rakpart, "," Bem rakpart, ",47.5139839,19.0395569
32043650," Wesselényi utca, VII. kerület",36,100000.0,1,not defined,not defined,not defined,nincs megadva,not defined,not defined,not defined,not defined,not defined,not defined,not defined,not defined,VII," Wesselényi utca, "," Wesselényi utca, ",47.4309445,19.1245806
32043660," Erdőalja út, III. kerület",128,400000.0,2,3,renovated,less than 3m,gáz (cirko),furnished,not defined,not defined,not defined,1,yes,not defined,garden,III," Erdőalja út, "," Erdőalja út, ",47.5550814,19.0121064
32043670," Sági utca, XVII. kerület",59,160000.0,3,not defined,not defined,not defined,nincs megadva,not defined,8.0,not defined,not defined,not defined,not defined,not defined,not defined,XVII," Sági utca, "," Sági utca, ",47.4751526,19.2747192
32043697," Tihany utca, XIV. kerület",50,120000.0,2,0,in good condition,less than 3m,távfűtés egyedi méréssel,furnished,4.0,not allowed,between 1950-1980,4,no,south west,garden,XIV," Tihany utca, "," Tihany utca, ",47.5132958,19.1396929
32043706," Rákóczi út 73, VII. kerület",62,163733.0,3,1,in good condition,not defined,elektromos,furnished,not defined,not defined,not defined,not defined,yes,not defined,not defined,VII," Rákóczi út 73, "," Rákóczi út 73, ",47.49506,19.062826
32043710," Éva utca, XI. kerület",106,400000.0,3,0,renovated,not defined,gáz (cirko),partly furnished,not defined,not defined,between 2001-2010,3,no,not defined,garden,XI," Éva utca, "," Éva utca, ",47.4489191,19.0122155
32043711," Miklós utca, III. kerület",66,130000.0,3,10,in good condition,not defined,távfűtés egyedi méréssel,partly furnished,not defined,not allowed,not defined,10,yes,not defined,not defined,III," Miklós utca, "," Miklós utca, ",47.5423966,19.042624
32043728," Petneházy utca, XIII. kerület",47,150000.0,2,6,new,not defined,házközponti egyedi méréssel,furnished,6.0,not defined,not defined,6,yes,not defined,street,XIII," Petneházy utca, "," Petneházy utca, ",47.5334586,19.0772143
32043729," Éva utca, XI. kerület",95,400000.0,3,1,renovated,not defined,gáz (cirko),partly furnished,16.0,not defined,between 2001-2010,3,no,not defined,panoramic,XI," Éva utca, "," Éva utca, ",47.4489191,19.0122155
32043748," Furulya utca, II. kerület",51,140000.0,2,0,in good condition,not defined,gáz (konvektor),partly furnished,not defined,allowed,not defined,2,not defined,not defined,garden,II," Furulya utca, "," Furulya utca, ",47.5244754,18.9861735
32043767," Üllői út, VIII. kerület",26,95000.0,1,1,in good condition,not defined,házközponti,furnished,not defined,not allowed,before 1950,not defined,yes,west,courtyard,VIII," Üllői út, "," Üllői út, ",47.4673669,19.1208332
32043780," Hegedűs Gyula utca, XIII. kerület",35,125000.0,1,3,new,not defined,nincs megadva,not defined,not defined,not defined,not defined,not defined,yes,not defined,not defined,XIII," Hegedűs Gyula utca, "," Hegedűs Gyula utca, ",47.5121347,19.0522868
