ID,Address,Size,Price,Rooms,Floor,Quality,Inner Height,Heating,Furnished,Balcony,Pet,Year Built,Floors,Lift,Orientation,View,kerület
32040508," Eötvös utca, VI. kerület",52,272115.0,3,1,renovated,more than 3m,elektromos,furnished,not defined,not allowed,before 1950,4,yes,not defined,courtyard,VI
32040557," Dolgos utca, XII. kerület",50,150000.0,2,1,renovated,less than 3m,gáz (cirko),furnished,2.0,not allowed,between 1950-1980,4,no,south,street,XII
32040566," Kálmán Imre utca, V. kerület",55,150000.0,3,2,renovated,not defined,gáz (cirko),furnished,not defined,allowed,not defined,3,no,not defined,courtyard,V
32040594," Hentes utca 9, IX. kerület",46,90000.0,2,1,in moderate condition,less than 3m,"cserépkályha, gáz (konvektor)",not furnished,not defined,not allowed,before 1950,4,no,south west,not defined,IX
32040598," Kresz Géza utca, XIII. kerület",34,95000.0,1,1,in good condition,less than 3m,nincs megadva,not defined,not defined,not defined,before 1950,5,yes,east,street,XIII
32040620," Andrássy út, VI. kerület",42,170000.0,2,3,renovated,not defined,nincs megadva,furnished,not defined,not allowed,not defined,not defined,no,not defined,courtyard,VI
32040657," Csap utca, I. kerület",59,250000.0,1,not defined,not defined,not defined,nincs megadva,not defined,6.0,not defined,not defined,not defined,not defined,not defined,not defined,I
32040661," Hegedűs Gyula utca, XIII. kerület",31,115000.0,1,3,renovated,less than 3m,távfűtés egyedi méréssel,not furnished,not defined,not allowed,not defined,5,yes,south east,street,XIII
32040670," Bíró László József körút 1, XI. kerület",70,390000.0,3,not defined,not defined,not defined,nincs megadva,not defined,20.0,allowed,not defined,not defined,yes,not defined,panoramic,XI
32040675," Belgrád rakpart 27, V. kerület",51,170000.0,3,2,in good condition,more than 3m,"elektromos, cserépkályha",furnished,not defined,not allowed,before 1950,4,yes,not defined,street,V
32040677," Margit körút 40, II. kerület",89,70000.0,3,not defined,in good condition,not defined,gáz (cirko),by arrangement,not defined,allowed,not defined,not defined,yes,not defined,street,II
32040684," Szemlőhegy, II. kerület",135,783068.0,4,0,renovated,not defined,gáz (cirko),by arrangement,30.0,allowed,between 1981-2000,3,no,not defined,garden,II
32040695," Vámház körút, IX. kerület",175,650000.0,7,1,renovated,more than 3m,gáz (konvektor),not furnished,not defined,not allowed,before 1950,2,no,not defined,street,IX
32040699," Víg utca, VIII. kerület",30,100000.0,1,1,renovated,more than 3m,gáz (konvektor),furnished,not defined,not allowed,before 1950,5,yes,south east,street,VIII
32040725," Csengery utca, VI. kerület",45,145000.0,2,3,renovated,more than 3m,gáz (konvektor),furnished,not defined,allowed,not defined,4,no,not defined,not defined,VI
32040758," Egressy út, XIV. kerület",52,170000.0,2,3,renovated,not defined,gáz (cirko),not defined,5.0,not allowed,not defined,4,no,not defined,garden,XIV
32040768," Szabó Ilonka utca, I. kerület",70,220000.0,3,1,renovated,less than 3m,házközponti,not furnished,not defined,not allowed,between 1981-2000,4,no,south west,street,I
32040844," Tátra utca, XIII. kerület",95,165000.0,3,1,in good condition,more than 3m,gáz (cirko),furnished,not defined,not defined,before 1950,not defined,yes,south west,not defined,XIII
32040924," Turóc utca, XIII. kerület",70,363000.0,3,1,renovated,not defined,gáz (cirko),furnished,18.0,allowed,not defined,9,yes,not defined,panoramic,XIII
32040933," Raoul Wallenberg utca, XIII. kerület",70,160000.0,3,3,renovated,more than 3m,gáz (cirko),partly furnished,not defined,allowed,not defined,5,yes,not defined,courtyard,XIII
