ID,Address_x,Size,Price,Rooms,Floor,Quality,Inner_Height,Heating,Furnished,Balcony,Pet,Year_Built,Floors,Lift,Orientation,View,kerület,lat,lon,dist,Log(Price),LogPrice
32035413," Hofherr Albert utca, XIX. kerület",30,100000.0,1,0,renovated,less than 3m,gáz (konvektor),not furnished,not defined,not defined,not defined,1,not defined,not defined,garden,XIX,47.441278000000004,19.149844100000003,10.00929651171928,11.512925464970229,11.512925464970229
32035419," Benczúr utca, VI. kerület",80,654930.0,3,3,newly built,less than 3m,mennyezeti hűtés-fűtés,by arrangement,14.0,not defined,2021,7,yes,not defined,courtyard,VI,47.424973,19.2321952,16.085724616072678,13.392283638677352,13.392283638677352
32035446," Erőd utca, II. kerület",38,130000.0,1,2,in good condition,less than 3m,elektromos,not defined,2.0,not defined,between 1950-1980,not defined,yes,south,street,II,47.50731079999999,19.0314119,1.577727664947054,11.77528972943772,11.77528972943772
32035457," Katona József utca, XIII. kerület",50,240000.0,2,4,newly built,not defined,házközponti,by arrangement,6.0,not allowed,2021,6,yes,not defined,street,XIII,47.5133494,19.053160899999998,1.4010398264870034,12.388394202324129,12.388394202324129
32035492," Kapos utca, XXI. kerület",33,85000.0,1,not defined,not defined,not defined,nincs megadva,not defined,3.0,not defined,not defined,not defined,not defined,not defined,not defined,XXI,47.410522799999995,19.0792504,10.290010450346779,11.350406535472453,11.350406535472453
32035496," Máriássy utca, IX. kerület",40,169000.0,2,8,new,less than 3m,házközponti egyedi méréssel,furnished,3.0,not defined,2020,9,yes,south west,panoramic,IX,47.4687797,19.0759783,4.067726911076331,12.037653993905211,12.037653993905211
32035550," Nádor utca, V. kerület",60,250000.0,2,2,renovated,more than 3m,padlófűtés,furnished,10.0,not defined,not defined,3,yes,south,garden,V,47.5051857,19.048177399999997,0.497412613043965,12.429216196844383,12.429216196844383
32035558," Katona József utca, XIII. kerület",70,140000.0,3,5,renovated,not defined,gáz (cirko),partly furnished,not defined,allowed,not defined,8,yes,not defined,street,XIII,47.5133494,19.053160899999998,1.4010398264870034,11.84939770159144,11.84939770159144
32035561," Gellérthegy, XI. kerület",88,280000.0,3,1,in good condition,less than 3m,gázkazán,partly furnished,2.0,not defined,before 1950,2,not defined,south west,street,XI,47.4845654,19.038769,2.010178570727383,12.542544882151386,12.542544882151386
32035589," Kapás utca 19-27., II. kerület",63,325000.0,3,2,newly built,not defined,házközponti egyedi méréssel,furnished,5.0,not allowed,2019,6,yes,south east,street,II,47.5083811,19.0329037,1.5393116563448357,12.691580461311874,12.691580461311874
32035605," Forgách utca, XIII. kerület",17,60000.0,1,not defined,not defined,not defined,nincs megadva,not defined,not defined,not defined,not defined,not defined,not defined,not defined,not defined,XIII,47.5388814,19.0694579,4.464640607296494,11.002099841204238,11.002099841204238
32035617," Erzsébet körút 20, VII. kerület",40,139000.0,2,2,not defined,not defined,nincs megadva,partly furnished,not defined,not defined,not defined,not defined,no,not defined,not defined,VII,47.4994669,19.0692624,1.4448224875167697,11.842229212112828,11.842229212112828
32035638," Bíró László József körút 2, XI. kerület",78,410000.0,4,1,newly built,not defined,házközponti egyedi méréssel,by arrangement,30.0,not defined,2021,6,yes,not defined,panoramic,XI,47.467312799999995,19.058359,3.7884366273530743,12.92391243868049,12.92391243868049
32035696," Kresz Géza utca, XIII. kerület",122,260000.0,4,mezzanine,renovated,less than 3m,gáz (cirko),by arrangement,4.0,not allowed,not defined,not defined,yes,not defined,street,XIII,47.5151123,19.0572569,1.6665271907300954,12.468436909997665,12.468436909997665
32035714," Csurgói út 22-32, XI. kerület",49,180000.0,2,4,new,not defined,nincs megadva,furnished,not defined,not allowed,not defined,not defined,yes,not defined,garden,XI,47.45344605,19.0323152061048,5.4479905863409614,12.100712129872347,12.100712129872347
32035719," Kiss János altábornagy utca, XII. kerület",31,115000.0,1,2,in good condition,not defined,nincs megadva,furnished,not defined,not allowed,not defined,not defined,yes,not defined,not defined,XII,47.492238799999996,19.019115399999997,2.524582774267789,11.652687407345388,11.652687407345388
32035722," Királylaki út, III. kerület",88,310000.0,4,1,in good condition,less than 3m,elektromos,furnished,14.0,allowed,between 1981-2000,3,no,not defined,panoramic,III,47.5495391,19.0156839,5.995944820129335,12.644327576461329,12.644327576461329
32035768," Úszódaru utca, XIII. kerület",46,200000.0,2,2,newly built,less than 3m,házközponti egyedi méréssel,furnished,7.0,not allowed,2019,9,yes,south,panoramic,XIII,47.5466636,19.0671823,5.24651694845469,12.206072645530174,12.206072645530174
32035775," Fogarasi út, XIV. kerület",17,59000.0,1,not defined,not defined,not defined,nincs megadva,not defined,25.0,not defined,not defined,not defined,not defined,not defined,not defined,XIV,47.513946999999995,19.1372086,6.699348404484882,10.985292722887856,10.985292722887856
32035835," Bogdáni út 24, III. kerület",36,110000.0,2,1,renovated,not defined,gáz (konvektor),not furnished,not defined,not defined,not defined,4,no,not defined,garden,III,47.54992845,19.0370392621538,5.5397121299344265,11.608235644774552,11.608235644774552
32035837," István utca 29, VII. kerület",70,150000.0,3,1,new,more than 3m,gáz (cirko),furnished,not defined,not defined,between 1950-1980,3,no,not defined,street,VII,47.5063724,19.085136300000002,2.697561262065312,11.918390573078392,11.918390573078392
32035843," Róna utca, XIV. kerület",29,95000.0,1,not defined,not defined,not defined,nincs megadva,not defined,not defined,not defined,not defined,not defined,not defined,not defined,not defined,XIV,47.5193304,19.104399800000003,4.561068315525849,11.461632170582678,11.461632170582678
32035847," Óbuda-Óváros, III. kerület",45,145000.0,2,5,in good condition,less than 3m,házközponti egyedi méréssel,partly furnished,3.0,not allowed,not defined,6,yes,not defined,street,III,47.541394399999994,19.0451407,4.517899299782223,11.884489021402711,11.884489021402711
32035883," Szobor utca, XIII. kerület",47,185000.0,2,1,newly built,less than 3m,házközponti egyedi méréssel,not furnished,4.0,not allowed,not defined,8,yes,not defined,street,XIII,47.5517218,19.0746257,5.942246906225487,12.128111104060462,12.128111104060462
32035976," Rómaifürdő – Pók utcai lakótelep, III. kerület",28,110000.0,1,1,renovated,not defined,házközponti,not furnished,not defined,allowed,not defined,4,no,not defined,garden,III,47.5711734,19.064441,7.88776631384147,11.608235644774552,11.608235644774552
32036002," Corvin sétány, VIII. kerület",43,180000.0,2,5,new,less than 3m,házközponti egyedi méréssel,furnished,6.0,not defined,2011,10,yes,not defined,garden,VIII,47.4858996,19.07519187896299,2.516147953596076,12.100712129872347,12.100712129872347
32036006," Fiastyúk utca 26, XIII. kerület",40,111000.0,2,1,renovated,less than 3m,gáz (konvektor),furnished,not defined,not allowed,not defined,not defined,not defined,west,garden,XIII,47.544923700000005,19.078235199999998,5.329803443436661,11.617285480294472,11.617285480294472
32036012," Thököly út, XIV. kerület",60,150000.0,2,1,renovated,more than 3m,"falfűtés, padlófűtés",by arrangement,not defined,not allowed,before 1950,3,no,not defined,courtyard,XIV,47.516200500000004,19.106887300000004,4.588887821608017,11.918390573078392,11.918390573078392
32036029," Dagály utca, XIII. kerület",65,230000.0,3,9,newly built,not defined,házközponti egyedi méréssel,not furnished,not defined,not defined,not defined,not defined,yes,not defined,panoramic,XIII,47.536963799999995,19.0666938,4.197409286949808,12.345834587905333,12.345834587905333
32036071," Frankel Leó út, II. kerület",35,110000.0,2,5,renovated,more than 3m,távfűtés,furnished,6.0,not allowed,between 1950-1980,6,yes,east,panoramic,II,47.5172521,19.0363866,2.090710169690113,11.608235644774552,11.608235644774552
32036082," Lángliliom utca, III. kerület",10,55000.0,1,not defined,new,less than 3m,gázkazán,furnished,8.0,not allowed,between 2001-2010,not defined,yes,not defined,garden,III,47.5726765,19.013146799999998,8.4516591914849,10.915088464214607,10.915088464214607
32036083," Tomori utca, XIII. kerület",68,190000.0,3,1,renovated,not defined,"távfűtés, távfűtés egyedi méréssel",furnished,3.0,not allowed,between 1981-2000,7,yes,not defined,not defined,XIII,47.551961600000006,19.0798467,6.099805614571951,12.154779351142624,12.154779351142624
32036108," Ulászló utca, XI. kerület",68,190000.0,2,mezzanine,in good condition,more than 3m,gáz (cirko),furnished,not defined,not defined,not defined,not defined,not defined,not defined,garden,XI,47.4758248,19.0340829,3.0413567619074304,12.154779351142624,12.154779351142624
32036119," Nádorliget utca, XI. kerület",53,185000.0,2,3,new,less than 3m,házközponti egyedi méréssel,furnished,12.0,not allowed,between 2001-2010,5,yes,south west,garden,XI,47.46949179999999,19.048425299999998,3.4979669786782566,12.128111104060462,12.128111104060462
32036137," Mártonhegyi út, XII. kerület",135,1300000.0,6,3,newly built,more than 3m,"gáz (cirko), padlófűtés",by arrangement,15.0,allowed,2021,4,yes,south east,panoramic,XII,47.4917914,19.0031956,3.6722122286493923,14.077874822431765,14.077874822431765
32036159," Amerikai út, XIV. kerület",50,150000.0,2,2,renovated,more than 3m,gáz (cirko),not furnished,not defined,not defined,before 1950,3,no,south,street,XIV,47.521471500000004,19.0929099,3.9425996433081383,11.918390573078392,11.918390573078392
32036206," Eső utca, III. kerület",57,140000.0,2,2,in good condition,not defined,gáz (konvektor),furnished,4.0,not allowed,between 1950-1980,3,no,west,street,III,47.5356766,19.0364155,4.001585221524252,11.84939770159144,11.84939770159144
32036207," Szilágyi Erzsébet fasor, II. kerület",50,120000.0,1,5,in good condition,less than 3m,"gáz (konvektor), elektromos",furnished,not defined,not defined,between 1950-1980,5,yes,not defined,panoramic,II,47.516343400000004,18.9989743,4.210843225112171,11.695247021764184,11.695247021764184
32036210," Tűzoltó utca 71-75, IX. kerület",46,120000.0,2,1,not defined,not defined,nincs megadva,furnished,not defined,not allowed,not defined,not defined,yes,not defined,street,IX,47.4794197,19.081656600000002,3.3650680957229633,11.695247021764184,11.695247021764184
32036212," Tallér utca, XIV. kerület",38,110000.0,1,3,renovated,less than 3m,gáz (cirko),furnished,not defined,allowed,between 1950-1980,3,no,south,street,XIV,47.5127922,19.103488100000003,4.219221981234767,11.608235644774552,11.608235644774552
32036219," Pap Károly utca, XIII. kerület",45,150000.0,2,not defined,not defined,not defined,nincs megadva,not defined,6.0,not defined,not defined,not defined,not defined,not defined,not defined,XIII,47.5329519,19.0730475,3.9563844968675848,11.918390573078392,11.918390573078392
32036240," Ond vezér útja, XIV. kerület",68,160000.0,3,4,in good condition,less than 3m,távfűtés egyedi méréssel,partly furnished,not defined,not allowed,not defined,10,yes,not defined,street,XIV,47.5062907,19.1393982,6.732305703883386,11.982929094215963,11.982929094215963
32036252," Üllői út, X. kerület",45,100000.0,2,3,in good condition,less than 3m,távfűtés,furnished,not defined,not defined,between 1981-2000,7,yes,south west,street,X,47.4673669,19.1208332,6.492457501901306,11.512925464970229,11.512925464970229
