ID,Address_x,Size,Price,Rooms,Floor,Quality,Inner_Height,Heating,Furnished,Balcony,Pet,Year_Built,Floors,Lift,Orientation,View,kerület,lat,lon,dist,Log(Price),LogPrice
1476912," Pasarét, II. kerület",62,210000.0,3,2,in good condition,not defined,gáz (cirko),not furnished,3.0,not defined,between 1950-1980,not defined,no,north east,garden,II,47.520287599999996,18.997372199999997,4.513111837494731,12.254862809699606,12.254862809699606
1702094," Andrássy út, VI. kerület",192,1455400.0,5,2,renovated,more than 3m,gáz (cirko),furnished,not defined,allowed,not defined,2,no,west,street,VI,47.506521299999996,19.0652946,1.2970803804827944,14.190791334895124,14.190791334895124
2080456," Károly körút, V. kerület",130,544230.0,4,4,new,more than 3m,gáz (cirko),by arrangement,5.0,not defined,before 1950,4,yes,not defined,panoramic,V,47.4951765,19.059497399999998,0.9490426519150594,13.207127230603477,13.207127230603477
2389231," Krisztinaváros, XII. kerület",135,385000.0,4,2,in good condition,more than 3m,házközponti,not furnished,8.0,not allowed,before 1950,4,yes,west,street,XII,47.496865500000006,19.0297756,1.5964782308892649,12.86099861326992,12.86099861326992
2703725," Béla király út, XII. kerület",130,563968.0,4,1,new,not defined,gáz (cirko),furnished,10.0,not allowed,not defined,not defined,yes,not defined,garden,XII,47.5111477,18.972430499999998,5.949866479083492,13.242752791281905,13.242752791281905
2747776," Hegyalja út, I. kerület",34,85000.0,1,mezzanine,renovated,less than 3m,házközponti egyedi méréssel,not furnished,2.0,not allowed,before 1950,5,yes,south west,courtyard,I,47.4883598,19.0302763,2.0453110994136643,11.350406535472453,11.350406535472453
3233817," Pecz Samu utca, XI. kerület",43,160000.0,2,2,new,not defined,házközponti egyedi méréssel,furnished,18.0,not defined,between 2001-2010,3,yes,not defined,garden,XI,47.4665429,19.011584600000003,4.7985253192994,11.982929094215963,11.982929094215963
3727992," Kútvölgy, XII. kerület",150,473005.0,5,2,not defined,not defined,gáz (cirko),not furnished,not defined,allowed,not defined,3,yes,not defined,panoramic,XII,47.5094194,18.9907247,4.56457338536254,13.066861238242723,13.066861238242723
4589835," Andrássy út, VI. kerület",161,1016597.0,5,5,renovated,not defined,házközponti egyedi méréssel,not furnished,not defined,not defined,between 2001-2010,5,yes,not defined,street,VI,47.506521299999996,19.0652946,1.2970803804827944,13.831971332977403,13.831971332977403
4850962," Ifjúmunkás utca, IX. kerület",40,110000.0,2,7,in good condition,less than 3m,házközponti egyedi méréssel,furnished,not defined,not allowed,not defined,10,yes,south east,street,IX,47.467662100000005,19.1096319,5.802619075324184,11.608235644774552,11.608235644774552
4862908," Wesselényi utca 2, VII. kerület",70,150000.0,3,3,in good condition,not defined,"elektromos, cserépkályha",not furnished,not defined,not allowed,not defined,5,yes,not defined,street,VII,47.6399079,18.8285187,22.70799314282573,11.918390573078392,11.918390573078392
5022796," Mecset utca, II. kerület",98,582160.0,4,2,new,not defined,gáz (cirko),furnished,not defined,allowed,not defined,not defined,yes,not defined,panoramic,II,47.5138382,19.0345993,1.8524114072886493,13.274500603020968,13.274500603020968
5098150," Nagymező utca, VI. kerület",63,218310.0,2,3,in good condition,not defined,gáz (cirko),by arrangement,not defined,not allowed,not defined,not defined,yes,not defined,street,VI,47.502853200000004,19.0611973,0.8571570751824479,12.293671350009241,12.293671350009241
5179306," Röppentyű utca, XIII. kerület",46,115000.0,2,2,renovated,less than 3m,házközponti egyedi méréssel,furnished,6.0,not allowed,between 2001-2010,4,yes,south west,street,XIII,47.5355922,19.0751487,4.289484072255818,11.652687407345388,11.652687407345388
5394534," Corvin sétány, VIII. kerület",67,200000.0,3,4,newly built,less than 3m,házközponti egyedi méréssel,furnished,not defined,allowed,not defined,9,yes,south,street,VIII,47.4858996,19.07519187896299,2.516147953596076,12.206072645530174,12.206072645530174
5512953," Hegedű utca, VI. kerület",40,100000.0,2,0,renovated,not defined,gáz (konvektor),not furnished,not defined,not allowed,not defined,3,not defined,not defined,courtyard,VI,47.5023276,19.0634221,1.0091293353415263,11.512925464970229,11.512925464970229
5575634," Bécsi utca, V. kerület",105,400235.0,2,4,renovated,more than 3m,házközponti egyedi méréssel,furnished,not defined,not allowed,not defined,5,yes,not defined,street,V,47.495667499999996,19.0524235,0.6083840205705486,12.899807153579557,12.899807153579557
5578212," Garam utca, XIII. kerület",27,75000.0,1,0,in good condition,not defined,gáz (konvektor),furnished,not defined,not allowed,not defined,5,yes,not defined,courtyard,XIII,47.4375566,19.2001527,13.299194824923706,11.225243392518447,11.225243392518447
5579279," Mátyáshegy, III. kerület",120,946010.0,4,0,in good condition,not defined,gáz (cirko),furnished,not defined,not allowed,not defined,not defined,not defined,not defined,panoramic,III,47.5336215,19.022806399999997,4.177687990844746,13.760008418802668,13.760008418802668
5657384," Abonyi utca, XIV. kerület",135,355707.0,4,2,renovated,more than 3m,házközponti,partly furnished,5.0,not defined,before 1950,3,no,not defined,street,XIV,47.5073312,19.089880899999997,3.068990185048448,12.781862637248109,12.781862637248109
5811559," Áfonya utca, II. kerület",110,544230.0,4,1,renovated,less than 3m,gáz (cirko),not defined,48.0,allowed,not defined,2,no,not defined,garden,II,47.521793599999995,19.0251287,2.9878057480622853,13.207127230603477,13.207127230603477
5904823," Váci utca, V. kerület",53,105000.0,1,3,renovated,not defined,gáz (konvektor),furnished,not defined,not defined,not defined,not defined,yes,not defined,courtyard,V,47.4921529,19.053635,1.0094088375226722,11.56171562913966,11.56171562913966
6008841," Ráth György utca, XII. kerület",45,120000.0,1,3,renovated,not defined,elektromos,furnished,not defined,allowed,not defined,5,no,not defined,courtyard,XII,47.5028345,19.016837399999996,2.5127037408557,11.695247021764184,11.695247021764184
6031179," Országút, II. kerület",120,509390.0,3,0,new,not defined,gáz (cirko),not furnished,not defined,allowed,not defined,not defined,yes,not defined,not defined,II,47.511708899999995,19.0272866,2.0960002836168576,13.140969210396445,13.140969210396445
6082452," Sas utca, V. kerület",70,509390.0,3,3,renovated,not defined,gáz (cirko),by arrangement,not defined,allowed,not defined,not defined,no,not defined,courtyard,V,47.442843100000005,19.1175986,8.212186784856115,13.140969210396445,13.140969210396445
6085822," Béla király út, XII. kerület",64,175000.0,3,2,in good condition,less than 3m,gáz (cirko),not furnished,4.0,not allowed,not defined,3,no,east,garden,XII,47.5111477,18.972430499999998,5.949866479083492,12.072541252905651,12.072541252905651
6092615," Várfok utca, I. kerület",66,160000.0,3,3,in good condition,not defined,házközponti,not furnished,not defined,not allowed,not defined,4,yes,not defined,panoramic,I,47.5059375,19.027832800000002,1.767841899965894,11.982929094215963,11.982929094215963
6255938," Batthyány utca, I. kerület",75,220000.0,2,3,renovated,not defined,gáz (cirko),not furnished,not defined,not allowed,not defined,4,no,not defined,panoramic,I,47.452592100000004,19.1449311,8.925308313650362,12.301382825334498,12.301382825334498
6268358," Budakeszi út, II. kerület",55,200000.0,2,2,new,not defined,házközponti egyedi méréssel,by arrangement,not defined,not defined,not defined,5,yes,not defined,panoramic,II,47.520777700000004,18.938951899999996,8.641865422270484,12.206072645530174,12.206072645530174
6268834," Balogh Ádám utca, II. kerület",160,787000.0,4,0,new,not defined,gáz (cirko),furnished,30.0,not allowed,not defined,3,yes,not defined,panoramic,II,47.5268258,18.998117399999998,4.856734428275717,13.57598352739954,13.57598352739954
6271849," Óra út, XII. kerület",215,1091550.0,5,1,in good condition,not defined,gáz (cirko),by arrangement,not defined,not defined,between 2001-2010,2,no,south east,panoramic,XII,47.5017213,19.0000479,3.7663608909746187,13.903109262443342,13.903109262443342
6310471," Hárshegyi út 23, II. kerület",100,465000.0,3,0,not defined,not defined,házközponti egyedi méréssel,furnished,not defined,not defined,not defined,2,yes,not defined,garden,II,47.52513425,18.96599805821365,6.872378884580995,13.049792684569493,13.049792684569493
6379565," Bajnok utca, VI. kerület",38,125000.0,1,3,renovated,more than 3m,elektromos,furnished,not defined,not defined,not defined,3,yes,east,street,VI,47.5116513,19.0662445,1.6989995204526818,11.736069016284437,11.736069016284437
6399916," Kiscelli utca, III. kerület",76,454813.0,3,4,new,not defined,gáz (cirko),not furnished,not defined,not allowed,not defined,4,yes,not defined,panoramic,III,47.5389729,19.0402857,4.29726517654953,13.027641624442968,13.027641624442968
6412773," Egressy út, XIV. kerület",43,110000.0,2,5,new,less than 3m,házközponti egyedi méréssel,not furnished,1.0,not allowed,not defined,7,yes,south east,street,XIV,47.513727200000005,19.118405199999998,5.32218798280101,11.608235644774552,11.608235644774552
6430289," Kútvölgy, XII. kerület",150,570000.0,4,1,new,less than 3m,gáz (cirko),not furnished,not defined,not defined,not defined,4,yes,not defined,panoramic,XII,47.5094194,18.9907247,4.56457338536254,13.253391639810733,13.253391639810733
6443839," Rahó utca, XI. kerület",50,152000.0,2,1,new,not defined,gáz (cirko),furnished,4.0,not allowed,between 2001-2010,3,yes,south east,garden,XI,47.4699855,19.0172008,4.2395815564956685,11.931635799828413,11.931635799828413
6462029," Irányi utca, V. kerület",140,800470.0,4,4,renovated,not defined,házközponti egyedi méréssel,furnished,not defined,not defined,before 1950,4,yes,not defined,street,V,47.491164700000006,19.0533878,1.1117324255580967,13.592954334139502,13.592954334139502
6542153," Gárdonyi Géza út, II. kerület",160,1018780.0,4,1,renovated,more than 3m,gáz (cirko),not furnished,not defined,not defined,before 1950,2,no,south east,panoramic,II,47.524246000000005,19.0110997,3.916918445534053,13.83411639095639,13.83411639095639
6549785," Ötvös János utca, II. kerület",76,545775.0,3,2,newly built,less than 3m,gáz (cirko),furnished,100.0,not defined,between 2001-2010,3,yes,south east,panoramic,II,47.537029100000005,18.974317499999998,6.970472370382238,13.209962081883397,13.209962081883397
6577476," József körút, VIII. kerület",80,160000.0,2,4,renovated,more than 3m,gázkazán,furnished,not defined,not allowed,before 1950,4,yes,south east,street,VIII,47.49657,19.070507,1.6039974312349876,11.982929094215963,11.982929094215963
6601457," Révay utca, VI. kerület",32,125000.0,1,2,in good condition,more than 3m,gáz (konvektor),furnished,not defined,not defined,not defined,4,yes,not defined,courtyard,VI,47.501544200000005,19.0567613,0.5012261880246228,11.736069016284437,11.736069016284437
6660791," Völgy utca, II. kerület",48,150000.0,2,1,renovated,not defined,gáz (cirko),furnished,5.0,not allowed,not defined,not defined,no,not defined,garden,II,47.4105554,19.0185818,10.327741248487428,11.918390573078392,11.918390573078392
6703623," Nagy Templom utca, VIII. kerület",44,150000.0,2,4,new,less than 3m,házközponti egyedi méréssel,furnished,4.6,not allowed,between 2001-2010,6,yes,west,not defined,VIII,47.486743100000005,19.076163100000002,2.5112329484606177,11.918390573078392,11.918390573078392
6709105," Dereglye utca, III. kerület",40,100000.0,1,1,in moderate condition,not defined,nincs megadva,partly furnished,not defined,not allowed,not defined,4,no,east,street,III,47.5292599,19.0398806,3.2455787056811167,11.512925464970229,11.512925464970229
6709450," Nagy Templom utca, VIII. kerület",43,135000.0,2,4,new,less than 3m,házközponti egyedi méréssel,furnished,3.0,not allowed,between 2001-2010,6,yes,not defined,street,VIII,47.486743100000005,19.076163100000002,2.5112329484606177,11.813030057420567,11.813030057420567
6716514," Budafoki út 33, XI. kerület",80,190000.0,4,3,in good condition,less than 3m,távfűtés,furnished,not defined,not allowed,not defined,5,no,not defined,not defined,XI,47.3830431,18.9541872,14.967520919760496,12.154779351142624,12.154779351142624
6732462," Zöldlomb utca, II. kerület",110,545775.0,4,0,in good condition,less than 3m,gáz (cirko),partly furnished,50.0,allowed,between 2001-2010,2,no,not defined,garden,II,47.5294598,19.0183928,3.9714465112740496,13.209962081883397,13.209962081883397
6735991," Rumbach Sebestyén utca 3, VII. kerület",40,120000.0,1,3,renovated,not defined,gáz (cirko),furnished,not defined,not defined,not defined,not defined,yes,not defined,street,VII,47.497027200000005,19.0600479,0.8601741239747532,11.695247021764184,11.695247021764184
6745675," Falk Miksa utca, V. kerület",85,160000.0,2,5,renovated,not defined,házközponti,not defined,not defined,not allowed,not defined,6,yes,south east,street,V,47.5126348,19.0488375,1.3069996730599993,11.982929094215963,11.982929094215963
6748571," Mártonvölgy utca, XII. kerület",100,545775.0,3,2,in good condition,not defined,gáz (cirko),not furnished,20.0,not defined,not defined,3,no,not defined,panoramic,XII,47.4913815,19.000931100000003,3.848378947529852,13.209962081883397,13.209962081883397
6781048," Berényi utca, I. kerület",78,180000.0,2,mezzanine,in good condition,not defined,házközponti,not furnished,not defined,allowed,not defined,2,not defined,south west,garden,I,47.4880955,19.0347018,1.8393271292687767,12.100712129872347,12.100712129872347
6796674," Katona József utca, XIII. kerület",86,140000.0,2,2,in good condition,more than 3m,házközponti egyedi méréssel,partly furnished,not defined,not allowed,before 1950,5,yes,east,street,XIII,47.5133494,19.053160899999998,1.4010398264870034,11.84939770159144,11.84939770159144
6857723," Zöldkő utca, II. kerület",115,618545.0,4,1,in good condition,less than 3m,gáz (cirko),furnished,7.0,not defined,not defined,2,no,not defined,panoramic,II,47.5312566,19.0081776,4.618678467232046,13.335125224837403,13.335125224837403
6885540," Szépvölgyi út, II. kerület",150,725640.0,4,mezzanine,renovated,not defined,gáz (cirko),not furnished,not defined,allowed,not defined,4,yes,not defined,panoramic,II,47.5298878,19.0209295,3.8991988709476213,13.49480930305526,13.49480930305526
6888587," Andrássy út, VI. kerület",61,280000.0,2,4,new,less than 3m,gáz (cirko),furnished,not defined,not allowed,2011,5,yes,not defined,courtyard,VI,47.506521299999996,19.0652946,1.2970803804827944,12.542544882151386,12.542544882151386
6909765," Bem rakpart, II. kerület",115,654930.0,3,4,renovated,more than 3m,gáz (cirko),furnished,not defined,not defined,not defined,5,yes,east,panoramic,II,47.5139839,19.039556899999997,1.6571827403362573,13.392283638677352,13.392283638677352
6925447," Dorozsmai utca, XIV. kerület",41,99000.0,1,1,in good condition,not defined,gáz (konvektor),furnished,not defined,not allowed,not defined,3,not defined,not defined,not defined,XIV,47.523093599999996,19.0990391,4.4239677814051355,11.502875129116727,11.502875129116727
6935968," Pacsirtamező utca, III. kerület",161,400000.0,6,1,in good condition,more than 3m,gáz (cirko),by arrangement,5.0,not allowed,before 1950,5,no,not defined,garden,III,47.5320836,19.0396969,3.5544520697377853,12.89921982609012,12.89921982609012
6946197," Mecset utca 10, II. kerület",35,155000.0,2,2,new,less than 3m,gáz (cirko),furnished,5.0,not allowed,not defined,5,yes,south,courtyard,II,47.51516225,19.034836589070828,1.958319987449081,11.951180395901384,11.951180395901384
6954271," Zöldlomb utca, II. kerület",120,509390.0,4,1,in good condition,not defined,gáz (cirko),furnished,not defined,not allowed,not defined,not defined,no,not defined,garden,II,47.5294598,19.0183928,3.9714465112740496,13.140969210396445,13.140969210396445
6954377," Ó utca, VI. kerület",40,110000.0,1,4,new,less than 3m,gáz (cirko),furnished,not defined,not allowed,between 2001-2010,5,yes,not defined,courtyard,VI,47.502292600000004,19.0551461,0.4049565556970781,11.608235644774552,11.608235644774552
6956149," Hegedűs Gyula utca, XIII. kerület",72,220000.0,3,5,new,not defined,házközponti egyedi méréssel,furnished,12.0,not allowed,not defined,7,yes,not defined,not defined,XIII,47.512134700000004,19.0522868,1.2578476467543103,12.301382825334498,12.301382825334498
6957584," Eszék utca, XI. kerület",43,120000.0,1,mezzanine,in good condition,more than 3m,gáz (cirko),not furnished,not defined,not allowed,before 1950,5,yes,south,street,XI,47.474911600000006,19.046369,2.9066732988335784,11.695247021764184,11.695247021764184
6968613," Királyhágó utca, XII. kerület",67,115000.0,1,4,in good condition,not defined,gáz (cirko),not furnished,not defined,not defined,not defined,5,yes,not defined,panoramic,XII,47.4954656,19.0220134,2.2000984510122823,11.652687407345388,11.652687407345388
6973106," Garibaldi utca, V. kerület",112,280000.0,3,2,new,more than 3m,házközponti egyedi méréssel,furnished,4.0,not allowed,not defined,4,yes,not defined,street,V,47.5049106,19.046662899999998,0.515841269906158,12.542544882151386,12.542544882151386
6996952," Bajcsy-Zsilinszky út, V. kerület",50,170000.0,2,3,new,more than 3m,gáz (cirko),furnished,not defined,not allowed,not defined,5,yes,south,street,V,47.4999104,19.0553621,0.4069710859028565,12.043553716032399,12.043553716032399
7007576," Rózsadomb, II. kerület",181,943332.0,4,2,new,less than 3m,gáz (cirko),by arrangement,35.0,not defined,between 2001-2010,not defined,yes,south east,panoramic,II,47.5173286,19.0282878,2.4558679692502,13.75717356752275,13.75717356752275
7037480," Visegrádi utca 28, XIII. kerület",33,115000.0,1,3,renovated,not defined,házközponti egyedi méréssel,furnished,not defined,not defined,not defined,4,yes,south east,street,XIII,47.515219,19.0558977,1.648146015868146,11.652687407345388,11.652687407345388
7048583," Széchenyi rakpart, V. kerület",68,352935.0,3,2,renovated,more than 3m,házközponti,furnished,not defined,not defined,not defined,4,no,not defined,panoramic,V,47.5117105,19.0463357,1.2342692406751745,12.774039182982985,12.774039182982985
7075550," Lipótváros, V. kerület",80,362820.0,3,1,renovated,not defined,gáz (cirko),furnished,not defined,not allowed,not defined,4,yes,not defined,street,V,47.50454310000001,19.050380399999998,0.40355570148152864,12.801662122495314,12.801662122495314
7081330," Egressy út, XIV. kerület",58,210000.0,3,5,new,less than 3m,házközponti egyedi méréssel,not furnished,28.0,not allowed,2013,6,yes,northwest,street,XIV,47.513727200000005,19.118405199999998,5.32218798280101,12.254862809699606,12.254862809699606
7095808," Szent István körút, V. kerület",56,115000.0,1,3,in good condition,more than 3m,gáz (konvektor),furnished,not defined,not defined,not defined,4,yes,not defined,street,V,47.5114357,19.053199600000003,1.1920109590740688,11.652687407345388,11.652687407345388
7109915," Endrődi Sándor utca, II. kerület",200,800470.0,4,1,in good condition,not defined,gáz (cirko),not furnished,not defined,not defined,not defined,2,no,not defined,not defined,II,47.5194799,19.0130449,3.4693845566221477,13.592954334139502,13.592954334139502
7125625," Kalászi utca, III. kerület",68,291080.0,2,0,new,less than 3m,gáz (cirko),by arrangement,23.0,not allowed,between 2001-2010,3,no,south east,garden,III,47.576947499999996,19.0612263,8.49749083672086,12.581353422461023,12.581353422461023
7145991," Bajcsy-Zsilinszky út, VI. kerület",71,170000.0,3,mezzanine,in good condition,more than 3m,gáz (cirko),furnished,not defined,not allowed,before 1950,5,yes,west,street,VI,47.4999104,19.0553621,0.4069710859028565,12.043553716032399,12.043553716032399
7150198," Liszt Ferenc tér, VI. kerület",81,218310.0,3,3,renovated,not defined,gáz (cirko),furnished,not defined,not defined,not defined,4,yes,not defined,courtyard,VI,47.5031331,19.064219013885623,1.085090912582054,12.293671350009241,12.293671350009241
7190450," Október 6. utca, V. kerület",160,400235.0,3,1,renovated,not defined,gáz (cirko),furnished,not defined,not allowed,not defined,3,yes,not defined,street,V,47.499498700000004,19.051288600000003,0.17937175625770754,12.899807153579557,12.899807153579557
7200813," Hegedűs Gyula utca, XIII. kerület",176,509390.0,3,1,renovated,not defined,házközponti,partly furnished,not defined,not defined,not defined,not defined,yes,not defined,not defined,XIII,47.512134700000004,19.0522868,1.2578476467543103,13.140969210396445,13.140969210396445
7203047," Fehér Hajó utca, V. kerület",140,800470.0,4,2,renovated,more than 3m,házközponti,furnished,not defined,not defined,before 1950,2,yes,not defined,street,V,47.4957847,19.0525049,0.5976590386796208,13.592954334139502,13.592954334139502
7203471," Toldy Ferenc utca, I. kerület",260,1455400.0,5,3,new,more than 3m,gáz (cirko),by arrangement,20.0,not defined,between 1981-2000,not defined,yes,not defined,panoramic,I,47.44603729999999,19.1175335,7.9325246377486565,14.190791334895124,14.190791334895124
20001521," Szikla utca, II. kerület",125,860000.0,5,0,new,less than 3m,"gáz (cirko), egyéb",partly furnished,23.0,not allowed,between 1981-2000,3,no,south west,garden,II,47.5316765,19.0121718,4.455008441457693,13.664687668229691,13.664687668229691
20002211," Fejér Lipót utca, XI. kerület",50,130000.0,2,7,renovated,less than 3m,távfűtés,not defined,not defined,not allowed,not defined,more than 10,yes,northwest,panoramic,XI,47.4675915,19.0370374,3.8358317919245586,11.77528972943772,11.77528972943772
20002732," Petőfi Sándor utca 12., V. kerület",99,220000.0,3,5,renovated,more than 3m,házközponti,not furnished,6.0,not allowed,before 1950,8,yes,south,street,V,47.6406765,18.8395876,22.166586818368913,12.301382825334498,12.301382825334498
20007043," Budafoki út 37-39., XI. kerület",50,150000.0,2,2,renovated,less than 3m,távfűtés egyedi méréssel,by arrangement,3.0,not allowed,between 1981-2000,7,yes,south east,street,XI,47.3830431,18.9541872,14.967520919760496,11.918390573078392,11.918390573078392
20011749," Krúdy utca, VIII. kerület",70,180000.0,3,3,renovated,more than 3m,gáz (cirko),furnished,not defined,not allowed,not defined,3,yes,south west,street,VIII,47.49028679999999,19.0683044,1.805159949961205,12.100712129872347,12.100712129872347
20044535," Szent László út, XIII. kerület",26,95000.0,2,mezzanine,in moderate condition,more than 3m,gáz (konvektor),furnished,not defined,not defined,not defined,2,no,not defined,courtyard,XIII,47.5451902,19.0963271,6.023027368845404,11.461632170582678,11.461632170582678
20055487," Lovag utca, VI. kerület",90,345658.0,3,1,in good condition,more than 3m,gáz (cirko),furnished,not defined,not defined,before 1950,not defined,no,not defined,street,VI,47.5059463,19.056667899999997,0.7431250109258939,12.753205125905227,12.753205125905227
20064396," Orbánhegy, XII. kerület",160,691315.0,5,1,renovated,not defined,gáz (cirko),not furnished,not defined,not allowed,not defined,not defined,no,not defined,garden,XII,47.4962116,19.0054865,3.3973764191012674,13.446350859947627,13.446350859947627
20066723," Máriaremetei út, II. kerület",55,140000.0,2,mezzanine,in good condition,less than 3m,gáz (cirko),partly furnished,15.0,allowed,between 1950-1980,2,no,south east,garden,II,47.550804299999996,18.950104,9.34136870134614,11.84939770159144,11.84939770159144
20067730," Mátyáshegy, III. kerület",90,356573.0,3,1,new,not defined,gáz (cirko),furnished,not defined,not allowed,between 2001-2010,3,no,not defined,panoramic,III,47.5336215,19.022806399999997,4.177687990844746,12.784294266457714,12.784294266457714
20074577," Lechner Ödön fasor, IX. kerület",113,500000.0,3,5,new,not defined,fan-coil,by arrangement,24.0,not defined,between 2001-2010,9,yes,south west,panoramic,IX,47.4745619,19.0699926,3.28897727049449,13.122363377404328,13.122363377404328
20079713," Szépvölgyi út, II. kerület",140,727700.0,4,3,in good condition,less than 3m,gáz (cirko),furnished,not defined,not defined,between 1981-2000,4,yes,east,panoramic,II,47.5298878,19.0209295,3.8991988709476213,13.497644154335179,13.497644154335179
20083561," Podmaniczky utca 1.-3, VI. kerület",54,150000.0,2,1,in good condition,more than 3m,gáz (cirko),furnished,2.0,not defined,not defined,4,no,northwest,street,VI,47.506915,19.0553913,0.7743959799287858,11.918390573078392,11.918390573078392
20102167," Bajcsy-Zsilinszky út, V. kerület",84,180000.0,2,2,renovated,more than 3m,gáz (cirko),furnished,not defined,not allowed,not defined,4,yes,south,street,V,47.4999104,19.0553621,0.4069710859028565,12.100712129872347,12.100712129872347
20104358," Kapy utca, II. kerület",50,200000.0,2,0,new,less than 3m,gáz (cirko),furnished,10.0,allowed,not defined,2,yes,not defined,garden,II,47.52912070000001,19.002938699999998,4.735273626746017,12.206072645530174,12.206072645530174
20115248," Tartsay Vilmos utca, XII. kerület",100,321000.0,4,2,new,not defined,gáz (cirko),furnished,4.33,not allowed,before 1950,4,no,south east,garden,XII,47.4920826,19.0219514,2.3363381564383827,12.679196402112153,12.679196402112153
20117189," Széchenyi rakpart, V. kerület",70,350000.0,3,2,renovated,not defined,házközponti,furnished,not defined,not defined,not defined,4,yes,not defined,panoramic,V,47.5117105,19.0463357,1.2342692406751745,12.765688433465597,12.765688433465597
20118370," Andrássy út, VI. kerület",73,180000.0,2,2,in moderate condition,more than 3m,gáz (cirko),furnished,not defined,allowed,before 1950,5,yes,not defined,street,VI,47.506521299999996,19.0652946,1.2970803804827944,12.100712129872347,12.100712129872347
20127932," Csillaghegy, III. kerület",70,230000.0,2,not defined,in good condition,not defined,gáz (cirko),not furnished,5.0,not allowed,not defined,2,not defined,not defined,not defined,III,47.5861629,19.0507049,9.481848966288268,12.345834587905333,12.345834587905333
20130970," Hangya utca, XII. kerület",125,618545.0,4,4,renovated,less than 3m,gáz (cirko),by arrangement,20.0,not defined,between 2001-2010,4,not defined,south,panoramic,XII,47.4966062,18.9962665,4.077950358745335,13.335125224837403,13.335125224837403
20132352," József nádor tér, V. kerület",55,130000.0,2,0,in good condition,not defined,házközponti,not furnished,not defined,not defined,not defined,5,yes,not defined,courtyard,V,47.4981929,19.050201766324466,0.30314880049952225,11.77528972943772,11.77528972943772
20135286," Oktogon, VI. kerület",65,155000.0,2,not defined,in moderate condition,not defined,nincs megadva,not defined,not defined,not allowed,not defined,not defined,yes,not defined,not defined,VI,47.5049614,19.062964,1.0623221751195693,11.951180395901384,11.951180395901384
20137113," Fehér Hajó utca, V. kerület",140,800470.0,4,2,renovated,not defined,nincs megadva,furnished,not defined,allowed,not defined,4,yes,not defined,street,V,47.4957847,19.0525049,0.5976590386796208,13.592954334139502,13.592954334139502
20168249," Andrássy út, VI. kerület",86,330000.0,3,2,new,more than 3m,házközponti egyedi méréssel,furnished,not defined,not allowed,between 2001-2010,8,yes,not defined,courtyard,VI,47.506521299999996,19.0652946,1.2970803804827944,12.706847933442663,12.706847933442663
20197359," Vármegye utca 15., V. kerület",30,95000.0,1,1,renovated,not defined,házközponti,furnished,not defined,not defined,not defined,6,yes,not defined,garden,V,47.49441955,19.0576107692013,0.9145268463476578,11.461632170582678,11.461632170582678
20207702," Szikla utca, II. kerület",114,654930.0,4,1,new,less than 3m,gáz (cirko),furnished,8.0,not allowed,not defined,3,no,south east,panoramic,II,47.5316765,19.0121718,4.455008441457693,13.392283638677352,13.392283638677352
20210603," Hajós utca, VI. kerület",150,815024.0,4,7,newly built,not defined,fan-coil,furnished,35.0,not defined,not defined,7,yes,not defined,panoramic,VI,47.5024289,19.0593723,0.7126554436249978,13.610972839642182,13.610972839642182
20213043," Liszt Ferenc tér, VI. kerület",58,236503.0,2,4,renovated,less than 3m,házközponti,furnished,not defined,not allowed,not defined,6,yes,not defined,street,VI,47.5031331,19.064219013885623,1.085090912582054,12.3737161718231,12.3737161718231
20236625," Dob utca 32, VII. kerület",32,125000.0,1,2,renovated,not defined,elektromos,furnished,not defined,not defined,not defined,not defined,no,not defined,courtyard,VII,47.499105799999995,19.0620875,0.9190004707250987,11.736069016284437,11.736069016284437
20242174," Ráday utca, IX. kerület",61,100000.0,2,0,in moderate condition,not defined,gáz (konvektor),furnished,not defined,not allowed,not defined,not defined,yes,not defined,courtyard,IX,47.4854854,19.0645518,2.02910062623543,11.512925464970229,11.512925464970229
20271741," Corvin sétány, VIII. kerület",41,160000.0,2,1,new,less than 3m,házközponti egyedi méréssel,furnished,3.0,not allowed,between 2001-2010,8,yes,west,street,VIII,47.4858996,19.07519187896299,2.516147953596076,11.982929094215963,11.982929094215963
20294894," Haller utca 23-25, IX. kerület",30,110000.0,1,4,new,not defined,házközponti egyedi méréssel,furnished,not defined,not allowed,not defined,6,yes,east,garden,IX,47.475401500000004,19.072558800000003,3.3001328524233458,11.608235644774552,11.608235644774552
20297504," Hunyadvár utca, XVI. kerület",20,55000.0,1,not defined,new,not defined,gáz (cirko),furnished,not defined,not defined,between 1981-2000,not defined,no,not defined,garden,XVI,47.5123297,19.2063728,11.805999656919893,10.915088464214607,10.915088464214607
20303973," Baross utca 21., VIII. kerület",51,159000.0,1,2,new,more than 3m,gáz (cirko),furnished,not defined,allowed,not defined,5,yes,not defined,street,VIII,47.45880235,18.96054492352948,8.205165731021495,11.976659481202368,11.976659481202368
20306750," Zrínyi utca, V. kerület",90,727700.0,3,4,renovated,more than 3m,házközponti,furnished,7.0,not allowed,before 1950,5,yes,east,panoramic,V,47.47475,19.293805300000002,18.54333279967254,13.497644154335179,13.497644154335179
